index_train,similarity
31372 21327 13311 5855 33136 24238 15927 37535 12035 25890 28209 2904 298 1991 4697 ,0.13934426229508196 0.12727272727272726 0.125 0.12337662337662338 0.12195121951219512 0.12 0.11965811965811966 0.11931818181818182 0.11811023622047244 0.11764705882352941 0.11711711711711711 0.11564625850340136 0.11278195488721804 0.1118421052631579 0.1111111111111111 
33301 2371 32297 19973 15174 3428 2629 11904 1201 16174 6769 16817 37377 38454 8444 ,0.13043478260869565 0.1242603550295858 0.12213740458015267 0.12101910828025478 0.11764705882352941 0.11695906432748537 0.11560693641618497 0.11494252873563218 0.11242603550295859 0.1111111111111111 0.1103448275862069 0.10975609756097561 0.10945273631840796 0.10884353741496598 0.10828025477707007 
18716 27484 17673 3701 14049 33998 19586 37583 37172 18442 37670 1658 11745 27397 8115 ,0.09418282548476455 0.09053497942386832 0.08641975308641975 0.08454106280193237 0.08171206225680934 0.08136482939632546 0.08115183246073299 0.0807799442896936 0.08051948051948052 0.0794392523364486 0.07926829268292683 0.07923497267759563 0.07848101265822785 0.07741935483870968 0.07713498622589532 
22106 13984 3644 13851 37833 11055 37336 32471 33708 19062 25522 13857 13813 13516 26575 ,0.12367491166077739 0.1188118811881188 0.11673151750972763 0.11428571428571428 0.11068702290076336 0.1044776119402985 0.10240963855421686 0.10126582278481013 0.10032362459546926 0.09750566893424037 0.0963855421686747 0.096 0.0955223880597015 0.09433962264150944 0.09365558912386707 
28600 33106 6864 5324 24528 8083 10593 4110 7082 36430 25958 17202 21957 34490 22557 ,0.10176991150442478 0.1015625 0.1 0.0970873786407767 0.09345794392523364 0.09243697478991597 0.09195402298850575 0.09174311926605505 0.09166666666666666 0.09154929577464789 0.0915032679738562 0.09090909090909091 0.09090909090909091 0.09090909090909091 0.0903954802259887 
22977 34073 8237 2349 26971 22244 17711 27582 26167 16630 3704 3792 23124 35259 30246 ,0.14166666666666666 0.13432835820895522 0.13286713286713286 0.1328125 0.1322314049586777 0.13178294573643412 0.12582781456953643 0.1232876712328767 0.12213740458015267 0.12142857142857143 0.12121212121212122 0.12037037037037036 0.12 0.11971830985915492 0.11949685534591195 
15353 14907 88 2556 23816 6473 15452 23799 4754 26331 34642 232 21331 39309 4841 ,0.12582781456953643 0.125 0.11811023622047244 0.11764705882352941 0.11627906976744186 0.11504424778761062 0.11504424778761062 0.11504424778761062 0.11363636363636363 0.11290322580645161 0.112 0.11180124223602485 0.1111111111111111 0.1111111111111111 0.11042944785276074 
15259 16169 12829 39141 32444 11946 33429 6292 16353 18298 10174 30799 4986 34382 16985 ,1.0 0.16216216216216217 0.14 0.12941176470588237 0.12658227848101267 0.125 0.12345679012345678 0.12037037037037036 0.11842105263157894 0.11842105263157894 0.11538461538461539 0.11494252873563218 0.11428571428571428 0.11363636363636363 0.11304347826086956 
24234 16194 32876 27713 3959 17733 19229 23927 32816 26793 13445 26188 31826 38288 7556 ,0.13432835820895522 0.13043478260869565 0.12727272727272726 0.12698412698412698 0.125 0.125 0.125 0.125 0.125 0.12371134020618557 0.12195121951219512 0.12195121951219512 0.12121212121212122 0.1206896551724138 0.11864406779661017 
23015 29372 8609 6567 38714 23688 7086 25951 6663 17846 23219 37484 25750 21039 29402 ,0.19696969696969696 0.16831683168316833 0.15178571428571427 0.14414414414414414 0.13924050632911392 0.13829787234042554 0.13636363636363635 0.13592233009708737 0.13402061855670103 0.1326530612244898 0.1326530612244898 0.1322314049586777 0.13131313131313133 0.13095238095238096 0.13043478260869565 
9362 7040 12138 22609 15879 17712 380 24883 2148 5682 24642 11760 34382 26073 18542 ,0.15853658536585366 0.15384615384615385 0.15384615384615385 0.15384615384615385 0.1509433962264151 0.14035087719298245 0.13793103448275862 0.136986301369863 0.13559322033898305 0.13513513513513514 0.1348314606741573 0.13333333333333333 0.1323529411764706 0.1320754716981132 0.13157894736842105 
14719 37434 12598 199 14108 37566 22791 31641 1607 36049 35603 39964 37907 32964 405 ,0.1927710843373494 0.18509615384615385 0.17703349282296652 0.1769041769041769 0.1726027397260274 0.16954022988505746 0.16793893129770993 0.16790123456790124 0.16784869976359337 0.16741071428571427 0.1670886075949367 0.16666666666666666 0.16624685138539042 0.1658291457286432 0.16573033707865167 
32989 17286 24322 20390 16508 31002 6856 31407 21335 32784 38120 14553 5069 13455 30410 ,0.15 0.1485148514851485 0.14634146341463414 0.14583333333333334 0.14285714285714285 0.14150943396226415 0.1414141414141414 0.1414141414141414 0.14 0.136986301369863 0.13675213675213677 0.13636363636363635 0.13559322033898305 0.1346153846153846 0.1346153846153846 
31975 7087 2278 34942 36300 8636 4420 6770 10083 10070 17678 37920 11124 38595 9801 ,0.1267605633802817 0.11940298507462686 0.1188118811881188 0.11650485436893204 0.11594202898550725 0.11392405063291139 0.11290322580645161 0.11290322580645161 0.11290322580645161 0.1111111111111111 0.10869565217391304 0.10869565217391304 0.1076923076923077 0.1076923076923077 0.10752688172043011 
20776 17523 20369 35229 35192 1009 3392 24278 24198 23546 19523 37286 20927 38723 18398 ,0.14285714285714285 0.13496932515337423 0.1317365269461078 0.1317365269461078 0.13095238095238096 0.13071895424836602 0.12972972972972974 0.1286549707602339 0.12857142857142856 0.12727272727272726 0.12643678160919541 0.1256544502617801 0.125 0.12371134020618557 0.12315270935960591 
17175 33231 24790 20945 30999 358 36326 4566 4420 2278 6213 14292 22917 18236 31142 ,0.14772727272727273 0.14432989690721648 0.14018691588785046 0.13592233009708737 0.13414634146341464 0.13402061855670103 0.13131313131313133 0.13114754098360656 0.13043478260869565 0.12962962962962962 0.1292517006802721 0.12878787878787878 0.12871287128712872 0.1271186440677966 0.1271186440677966 
11409 23933 10133 35315 24126 24136 25292 29310 7185 23651 9970 15645 22437 38195 36331 ,0.10967741935483871 0.10465116279069768 0.10457516339869281 0.10429447852760736 0.10408921933085502 0.10396039603960396 0.10285714285714286 0.10215053763440861 0.10204081632653061 0.10179640718562874 0.10150375939849623 0.10126582278481013 0.10067114093959731 0.10059171597633136 0.1005586592178771 
19458 37069 39802 25851 35874 17643 702 11359 27276 19197 8239 16783 33598 21439 10033 ,0.14130434782608695 0.1404494382022472 0.13855421686746988 0.1357142857142857 0.13127413127413126 0.125 0.12062256809338522 0.12062256809338522 0.11989100817438691 0.11904761904761904 0.11888111888111888 0.11801242236024845 0.11787072243346007 0.1175115207373272 0.11742424242424243 
30147 11088 22499 11510 23494 7616 7465 33866 24500 740 26832 35773 39423 7704 21399 ,0.14173228346456693 0.1375 0.13392857142857142 0.13333333333333333 0.1320754716981132 0.12903225806451613 0.128 0.12631578947368421 0.1258741258741259 0.125 0.125 0.125 0.125 0.1242603550295858 0.12403100775193798 
9452 17577 26748 22958 12041 39886 33314 16950 35329 427 24818 36862 18780 25648 14389 ,0.11494252873563218 0.11299435028248588 0.11235955056179775 0.1111111111111111 0.10909090909090909 0.1065989847715736 0.10526315789473684 0.10497237569060773 0.10493827160493827 0.10404624277456648 0.10126582278481013 0.0995260663507109 0.09944751381215469 0.0984251968503937 0.09813084112149532 
8033 20981 21085 21118 23912 17539 3893 25950 12691 8321 7388 18779 18808 29313 32274 ,0.16393442622950818 0.14351851851851852 0.13548387096774195 0.12972972972972974 0.11949685534591195 0.11764705882352941 0.11152416356877323 0.11073825503355705 0.10909090909090909 0.1038135593220339 0.10069444444444445 0.09508196721311475 0.09178743961352658 0.09042553191489362 0.08974358974358974 
884 9801 38809 1688 8158 22792 6447 30373 39226 8272 7049 29231 20369 12511 30279 ,0.1366906474820144 0.13636363636363635 0.13333333333333333 0.13286713286713286 0.12871287128712872 0.128 0.12643678160919541 0.125 0.125 0.12396694214876033 0.12280701754385964 0.12280701754385964 0.1223021582733813 0.12149532710280374 0.12048192771084337 
14758 27068 28561 32738 28307 5403 34055 29035 31296 17343 26920 7608 16453 1463 15531 ,0.16326530612244897 0.16030534351145037 0.15671641791044777 0.15517241379310345 0.15454545454545454 0.15384615384615385 0.15254237288135594 0.15178571428571427 0.1513157894736842 0.14953271028037382 0.14814814814814814 0.14728682170542637 0.14728682170542637 0.14705882352941177 0.14678899082568808 
26497 11837 18869 23286 20768 37779 25427 31677 38509 12470 2342 4352 7114 18219 35306 ,0.15337423312883436 0.14689265536723164 0.1404494382022472 0.13872832369942195 0.13793103448275862 0.1358695652173913 0.13574660633484162 0.13471502590673576 0.13414634146341464 0.13333333333333333 0.13270142180094788 0.1319796954314721 0.13063063063063063 0.13043478260869565 0.12972972972972974 
24653 39774 5927 23367 25404 36910 724 19264 9632 878 17060 24756 23338 23330 2247 ,0.16666666666666666 0.15384615384615385 0.15 0.15 0.14814814814814814 0.14606741573033707 0.14583333333333334 0.14583333333333334 0.14516129032258066 0.14457831325301204 0.14285714285714285 0.14285714285714285 0.14130434782608695 0.14035087719298245 0.13986013986013987 
23931 1226 37958 32105 13183 11825 9656 34126 24285 13940 17960 19929 1480 36941 6025 ,0.1638418079096045 0.14285714285714285 0.14207650273224043 0.14084507042253522 0.13942307692307693 0.13855421686746988 0.13736263736263737 0.1366120218579235 0.13618677042801555 0.13580246913580246 0.13479623824451412 0.13452914798206278 0.13440860215053763 0.1340782122905028 0.13382899628252787 
37793 24330 18924 810 8497 36050 18057 38972 16329 37260 25194 33570 18341 3987 22391 ,0.1446280991735537 0.10344827586206896 0.10236220472440945 0.10096153846153846 0.1 0.1 0.09933774834437085 0.0989010989010989 0.09848484848484848 0.09821428571428571 0.09701492537313433 0.09701492537313433 0.09558823529411764 0.0947867298578199 0.09467455621301775 
9382 34163 17662 3922 24663 38816 24278 21979 5058 37141 31758 20146 24335 35805 8308 ,0.14537444933920704 0.14485981308411214 0.14241486068111456 0.1407035175879397 0.13548387096774195 0.1340782122905028 0.13259668508287292 0.13218390804597702 0.12962962962962962 0.12745098039215685 0.12716763005780346 0.12690355329949238 0.12666666666666668 0.12650602409638553 0.12637362637362637 
1499 34360 20583 35043 37502 10037 7193 16685 18188 10630 23651 26221 30792 4173 32181 ,0.12142857142857143 0.12030075187969924 0.11538461538461539 0.11377245508982035 0.11290322580645161 0.11180124223602485 0.11038961038961038 0.10989010989010989 0.10967741935483871 0.10810810810810811 0.10759493670886076 0.10759493670886076 0.10759493670886076 0.1073170731707317 0.10714285714285714 
34331 13277 14592 10094 16842 6288 7798 31130 2540 35987 16669 27375 19920 2024 7083 ,0.15730337078651685 0.14150943396226415 0.1320754716981132 0.11764705882352941 0.11711711711711711 0.11702127659574468 0.11475409836065574 0.11403508771929824 0.11382113821138211 0.112 0.1111111111111111 0.1111111111111111 0.1095890410958904 0.1092436974789916 0.1092436974789916 
14236 29402 30283 9854 13157 34751 5046 20943 11533 3254 21495 39538 29288 23794 34642 ,0.16037735849056603 0.1391304347826087 0.1388888888888889 0.13385826771653545 0.13186813186813187 0.1282051282051282 0.12598425196850394 0.1259259259259259 0.125 0.12408759124087591 0.12396694214876033 0.12295081967213115 0.12269938650306748 0.12213740458015267 0.12213740458015267 
3361 13433 13334 17397 25883 31295 4924 4307 3246 11779 36384 34984 34478 34854 17677 ,0.13333333333333333 0.1322314049586777 0.12871287128712872 0.12605042016806722 0.125 0.12389380530973451 0.12264150943396226 0.12213740458015267 0.12173913043478261 0.1206896551724138 0.11965811965811966 0.11926605504587157 0.11864406779661017 0.11864406779661017 0.11842105263157894 
23481 13530 17720 15896 29624 17343 28215 29787 32353 12880 14030 24092 1239 2370 12829 ,0.9777777777777777 0.18518518518518517 0.15942028985507245 0.15625 0.15625 0.15294117647058825 0.1518987341772152 0.14705882352941177 0.14583333333333334 0.14444444444444443 0.14285714285714285 0.14285714285714285 0.1411764705882353 0.1411764705882353 0.13953488372093023 
7149 22727 568 35766 30147 7660 35229 9153 38861 15619 4098 27848 19735 19582 14216 ,0.13924050632911392 0.13846153846153847 0.13836477987421383 0.13815789473684212 0.13793103448275862 0.1368421052631579 0.13664596273291926 0.13529411764705881 0.13471502590673576 0.1346153846153846 0.1342281879194631 0.13291139240506328 0.13274336283185842 0.13245033112582782 0.13157894736842105 
38116 12880 25185 1882 2315 25685 11064 5591 24585 36240 26452 28564 4295 1100 22108 ,0.18518518518518517 0.1797752808988764 0.17391304347826086 0.16923076923076924 0.16923076923076924 0.16842105263157894 0.16470588235294117 0.16455696202531644 0.16216216216216217 0.16091954022988506 0.16071428571428573 0.16 0.15942028985507245 0.1590909090909091 0.1590909090909091 
19297 7275 19816 10845 17764 10282 19750 20797 24500 18398 9575 10349 24034 38782 37057 ,0.15513126491646778 0.1487603305785124 0.14334470989761092 0.13671875 0.13333333333333333 0.12790697674418605 0.12571428571428572 0.12186379928315412 0.12033195020746888 0.11870503597122302 0.11746987951807229 0.1167192429022082 0.11598746081504702 0.11552346570397112 0.11262798634812286 
22108 29196 2893 22278 38062 12829 29007 28990 9271 26961 12880 15420 33583 35064 36787 ,0.17582417582417584 0.17391304347826086 0.17204301075268819 0.16853932584269662 0.16853932584269662 0.16666666666666666 0.16470588235294117 0.16037735849056603 0.16 0.1590909090909091 0.15789473684210525 0.15714285714285714 0.15714285714285714 0.1566265060240964 0.15625 
1035 7666 31235 32099 33467 12860 20333 1569 21239 20046 13361 32738 8328 35154 36133 ,0.16964285714285715 0.1568627450980392 0.15306122448979592 0.15053763440860216 0.14912280701754385 0.14736842105263157 0.14736842105263157 0.14728682170542637 0.14705882352941177 0.14655172413793102 0.14444444444444443 0.14423076923076922 0.14285714285714285 0.14285714285714285 0.14285714285714285 
30978 29093 31128 5383 34382 8973 14442 28027 14403 20426 819 8887 33088 38476 18151 ,0.17391304347826086 0.14285714285714285 0.13725490196078433 0.13636363636363635 0.13559322033898305 0.1346153846153846 0.13333333333333333 0.12903225806451613 0.1276595744680851 0.12727272727272726 0.125 0.125 0.125 0.125 0.12280701754385964 
37173 13334 25022 36240 17769 18025 26347 2893 5305 35772 6950 16944 32185 19192 29916 ,0.16494845360824742 0.15053763440860216 0.13513513513513514 0.13333333333333333 0.1320754716981132 0.13178294573643412 0.13043478260869565 0.12962962962962962 0.12941176470588237 0.12903225806451613 0.12844036697247707 0.1282051282051282 0.1262135922330097 0.125 0.125 
39628 14512 7767 1385 29991 23038 34774 17552 11527 32889 2830 6595 17227 20025 4385 ,0.20297029702970298 0.18566775244299674 0.17216117216117216 0.1440677966101695 0.13851351351351351 0.1346153846153846 0.13003095975232198 0.12200956937799043 0.12144702842377261 0.12037037037037036 0.11860940695296524 0.11778290993071594 0.11743772241992882 0.11627906976744186 0.11598746081504702 
26995 19133 13282 24313 12139 15646 29028 33754 24501 8775 9364 21274 11265 18868 23120 ,0.13071895424836602 0.10759493670886076 0.10679611650485436 0.10576923076923077 0.10476190476190476 0.1044776119402985 0.10426540284360189 0.1038961038961039 0.1037037037037037 0.10294117647058823 0.1024390243902439 0.10218978102189781 0.10052910052910052 0.1 0.1 
25802 38321 19022 716 29244 8058 3239 5533 10249 39232 691 11362 13024 18066 21760 ,0.14705882352941177 0.13740458015267176 0.1366906474820144 0.1357142857142857 0.13333333333333333 0.1323529411764706 0.13125 0.13114754098360656 0.12698412698412698 0.12686567164179105 0.12598425196850394 0.12598425196850394 0.1258741258741259 0.125 0.125 
23300 39882 12742 22791 27014 12598 31641 19213 36049 28528 8865 22498 39106 19558 20510 ,0.1864864864864865 0.18045112781954886 0.17995444191343962 0.17884130982367757 0.17873303167420815 0.176056338028169 0.17560975609756097 0.17452830188679244 0.17439293598233996 0.17266187050359713 0.17258883248730963 0.16893732970027248 0.16885964912280702 0.1683673469387755 0.16778523489932887 
19162 32345 15531 2902 9516 26347 31235 39999 5874 37144 26369 14899 16280 2957 15026 ,0.1323529411764706 0.12686567164179105 0.12598425196850394 0.125 0.125 0.125 0.12307692307692308 0.12142857142857143 0.12080536912751678 0.1206896551724138 0.11904761904761904 0.11811023622047244 0.11811023622047244 0.11805555555555555 0.11695906432748537 
34473 26590 3701 15530 39749 10890 21295 22281 8737 28383 31707 7318 8030 17165 19828 ,0.16666666666666666 0.15217391304347827 0.15 0.14814814814814814 0.14749262536873156 0.1474820143884892 0.14733542319749215 0.14625850340136054 0.1447811447811448 0.1436950146627566 0.14344262295081966 0.14246575342465753 0.1422924901185771 0.1419939577039275 0.14184397163120568 
29007 34423 13526 31128 5200 34593 6383 9854 714 28128 14403 6743 6663 24069 5331 ,0.12631578947368421 0.12149532710280374 0.11904761904761904 0.11392405063291139 0.11206896551724138 0.11009174311926606 0.10909090909090909 0.10909090909090909 0.10869565217391304 0.10679611650485436 0.10666666666666667 0.10655737704918032 0.10576923076923077 0.10526315789473684 0.10465116279069768 
14368 38395 24714 28932 37051 3260 15644 6336 32529 4339 35565 9071 27986 2455 9195 ,0.12280701754385964 0.12195121951219512 0.11612903225806452 0.11442786069651742 0.11206896551724138 0.1079136690647482 0.1073170731707317 0.10714285714285714 0.10666666666666667 0.10596026490066225 0.1056338028169014 0.10344827586206896 0.10273972602739725 0.10236220472440945 0.10227272727272728 
4116 17825 22587 20669 11374 33078 12214 35112 4832 22635 20536 5278 1043 5995 5237 ,0.17699115044247787 0.13471502590673576 0.11191335740072202 0.10365853658536585 0.10031347962382445 0.09691629955947137 0.0967741935483871 0.09649122807017543 0.09584664536741214 0.09550561797752809 0.09535452322738386 0.09523809523809523 0.09417040358744394 0.09415584415584416 0.09246575342465753 
